age,workclass,education,marital-status,race,sex,hours-per-week,incomeclass
39, State-gov, Bachelors, Never-married, White, Male,40, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, White, Male,13, <=50K
38, Private, HS-grad, Divorced, White, Male,40, <=50K
53, Private, 11th, Married-civ-spouse, Black, Male,40, <=50K
28, Private, Bachelors, Married-civ-spouse, Black, Female,40, <=50K
37, Private, Masters, Married-civ-spouse, White, Female,40, <=50K
49, Private, 9th, Married-spouse-absent, Black, Female,16, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male,45, >50K
31, Private, Masters, Never-married, White, Female,50, >50K
42, Private, Bachelors, Married-civ-spouse, White, Male,40, >50K
37, Private, Some-college, Married-civ-spouse, Black, Male,80, >50K
30, State-gov, Bachelors, Married-civ-spouse, Asian-Pac-Islander, Male,40, >50K
23, Private, Bachelors, Never-married, White, Female,30, <=50K
32, Private, Assoc-acdm, Never-married, Black, Male,50, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Asian-Pac-Islander, Male,40, >50K
34, Private, 7th-8th, Married-civ-spouse, Amer-Indian-Eskimo, Male,45, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, White, Male,35, <=50K
32, Private, HS-grad, Never-married, White, Male,40, <=50K
38, Private, 11th, Married-civ-spouse, White, Male,50, <=50K
43, Self-emp-not-inc, Masters, Divorced, White, Female,45, >50K
40, Private, Doctorate, Married-civ-spouse, White, Male,60, >50K
54, Private, HS-grad, Separated, Black, Female,20, <=50K
35, Federal-gov, 9th, Married-civ-spouse, Black, Male,40, <=50K
43, Private, 11th, Married-civ-spouse, White, Male,40, <=50K
59, Private, HS-grad, Divorced, White, Female,40, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, White, Male,40, >50K
19, Private, HS-grad, Never-married, White, Male,40, <=50K
54, ?, Some-college, Married-civ-spouse, Asian-Pac-Islander, Male,60, >50K
39, Private, HS-grad, Divorced, White, Male,80, <=50K
49, Private, HS-grad, Married-civ-spouse, White, Male,40, <=50K
23, Local-gov, Assoc-acdm, Never-married, White, Male,52, <=50K
20, Private, Some-college, Never-married, Black, Male,44, <=50K
45, Private, Bachelors, Divorced, White, Male,40, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, White, Male,40, <=50K
